level_date,prev_date,published_level,source_column,best_anchor_price,signed_distance_points,abs_distance_points,within_tolerance,within_1,within_2,within_3,within_5,within_10,best_anchor_family,best_anchor_name,best_anchor_side,best_box_index,best_fraction,prev_high,prev_low,prev_close,prev_range,box_size,box_padding
2026-01-01,2025-12-31,1.0,level_name,4116.08,-4115.08,4115.08,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4373.16,4274.62,4318.87,98.53999999999996,64.26999999999998,30.0
2026-01-01,2025-12-31,2.0,level_name,4116.08,-4114.08,4114.08,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4373.16,4274.62,4318.87,98.53999999999996,64.26999999999998,30.0
2026-01-01,2025-12-31,3.0,level_name,4116.08,-4113.08,4113.08,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4373.16,4274.62,4318.87,98.53999999999996,64.26999999999998,30.0
2026-01-01,2025-12-31,4.0,level_name,4116.08,-4112.08,4112.08,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4373.16,4274.62,4318.87,98.53999999999996,64.26999999999998,30.0
2026-01-01,2025-12-31,5.0,level_name,4116.08,-4111.08,4111.08,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4373.16,4274.62,4318.87,98.53999999999996,64.26999999999998,30.0
2026-01-01,2025-12-31,6.0,level_name,4116.08,-4110.08,4110.08,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4373.16,4274.62,4318.87,98.53999999999996,64.26999999999998,30.0
2026-01-01,2025-12-31,7.0,level_name,4116.08,-4109.08,4109.08,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4373.16,4274.62,4318.87,98.53999999999996,64.26999999999998,30.0
2026-01-01,2025-12-31,8.0,level_name,4116.08,-4108.08,4108.08,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4373.16,4274.62,4318.87,98.53999999999996,64.26999999999998,30.0
2026-01-01,2025-12-31,9.0,level_name,4116.08,-4107.08,4107.08,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4373.16,4274.62,4318.87,98.53999999999996,64.26999999999998,30.0
2026-01-04,2026-01-02,1.0,level_name,4157.64,-4156.64,4156.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4402.38,4310.01,4332.72,92.36999999999989,61.184999999999945,30.0
2026-01-04,2026-01-02,2.0,level_name,4157.64,-4155.64,4155.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4402.38,4310.01,4332.72,92.36999999999989,61.184999999999945,30.0
2026-01-04,2026-01-02,3.0,level_name,4157.64,-4154.64,4154.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4402.38,4310.01,4332.72,92.36999999999989,61.184999999999945,30.0
2026-01-04,2026-01-02,4.0,level_name,4157.64,-4153.64,4153.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4402.38,4310.01,4332.72,92.36999999999989,61.184999999999945,30.0
2026-01-04,2026-01-02,5.0,level_name,4157.64,-4152.64,4152.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4402.38,4310.01,4332.72,92.36999999999989,61.184999999999945,30.0
2026-01-04,2026-01-02,6.0,level_name,4157.64,-4151.64,4151.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4402.38,4310.01,4332.72,92.36999999999989,61.184999999999945,30.0
2026-01-04,2026-01-02,7.0,level_name,4157.64,-4150.64,4150.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4402.38,4310.01,4332.72,92.36999999999989,61.184999999999945,30.0
2026-01-04,2026-01-02,8.0,level_name,4157.64,-4149.64,4149.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4402.38,4310.01,4332.72,92.36999999999989,61.184999999999945,30.0
2026-01-04,2026-01-02,9.0,level_name,4157.64,-4148.64,4148.64,False,False,False,False,False,False,red_box_edge,red_edge_4,red,4.0,,4402.38,4310.01,4332.72,92.36999999999989,61.184999999999945,30.0
