level_date,rows,date_count,median_abs_distance,mean_abs_distance,pct_within_1,pct_within_2,pct_within_3,pct_within_5,pct_within_10,formula_candidate_score
2026-03-24,10,1,3.40875,5.62916,0.0,20.0,40.0,70.0,80.0,52.078125
2026-03-25,10,1,3.785625,5.9125,10.0,20.0,30.0,60.0,70.0,44.135938
2026-03-26,10,1,4.4,4.02,20.0,30.0,40.0,50.0,100.0,44.6
2026-03-27,10,1,5.1525,5.381667,20.0,30.0,30.0,50.0,80.0,38.21875
2026-03-30,10,1,7.120625,5.754411,10.0,20.0,40.0,40.0,90.0,35.298438
2026-03-31,8,1,1.66,2.424964,50.0,50.0,75.0,87.5,100.0,76.575
2026-04-01,10,1,4.2125,5.004174,20.0,20.0,20.0,60.0,80.0,38.56875
2026-04-02,12,1,3.635,4.224163,16.666667,33.333333,41.666667,66.666667,100.0,51.429167
2026-04-03,9,1,8.665,7.70187,22.222222,22.222222,22.222222,22.222222,55.555556,18.993056
2026-04-06,9,1,8.665,7.70187,22.222222,22.222222,22.222222,22.222222,55.555556,18.993056
2026-04-07,9,1,2.46,2.733333,33.333333,33.333333,77.777778,88.888889,100.0,76.172222
2026-04-08,9,1,1.55,2.075556,33.333333,55.555556,77.777778,88.888889,100.0,78.447222
2026-04-09,10,1,3.08875,3.649964,30.0,40.0,40.0,60.0,100.0,50.378125
2026-04-10,9,1,3.17,3.078889,22.222222,44.444444,44.444444,77.777778,100.0,56.619444
2026-04-13,9,1,1.3375,4.868611,44.444444,55.555556,66.666667,77.777778,88.888889,71.200694
2026-04-14,9,1,4.13834,3.794954,22.222222,22.222222,33.333333,77.777778,100.0,49.198594
2026-04-15,10,1,4.4325,4.32575,20.0,30.0,30.0,60.0,100.0,42.51875
2026-04-16,10,1,4.9875,4.1965,20.0,20.0,30.0,50.0,100.0,38.63125
2026-04-17,10,1,1.56375,5.689,40.0,60.0,60.0,70.0,80.0,65.690625
2026-04-20,10,1,1.895,2.260496,10.0,60.0,80.0,90.0,100.0,78.8625
2026-04-21,10,1,4.63875,5.7635,0.0,0.0,30.0,60.0,90.0,42.003125
2026-04-22,9,1,2.555,4.352309,11.111111,22.222222,55.555556,55.555556,100.0,57.601389
2026-04-23,11,1,2.79,19.57,18.181818,27.272727,54.545455,72.727273,72.727273,60.852273
2026-04-24,10,1,1.7,2.92828,10.0,60.0,60.0,80.0,100.0,67.85
2026-04-27,11,1,2.87,4.745796,18.181818,36.363636,54.545455,72.727273,90.909091,60.652273
2026-04-28,9,1,2.275,3.897775,22.222222,44.444444,55.555556,77.777778,88.888889,63.856944
2026-04-29,9,1,5.195,4.723117,22.222222,33.333333,44.444444,44.444444,88.888889,43.223611
2026-04-30,10,1,1.54,3.466333,10.0,60.0,60.0,60.0,100.0,63.25
2026-05-01,9,1,2.876667,3.468519,22.222222,33.333333,55.555556,66.666667,100.0,59.574999
2026-05-04,10,1,3.03625,3.16725,10.0,20.0,40.0,90.0,100.0,58.009375
2026-05-05,11,1,2.18,3.756818,18.181818,45.454545,54.545455,63.636364,90.909091,60.104545
2026-05-06,9,1,3.235,9.831667,11.111111,22.222222,44.444444,66.666667,77.777778,53.679167
2026-05-07,10,1,1.54,3.45775,40.0,60.0,60.0,70.0,80.0,65.75
2026-05-08,10,1,5.076875,13.802912,20.0,20.0,20.0,50.0,80.0,33.907812
2026-05-11,10,1,3.123125,2.990441,10.0,40.0,50.0,90.0,100.0,62.292188
2026-05-12,10,1,3.56625,3.18575,20.0,40.0,40.0,80.0,100.0,54.184375
2026-05-13,10,1,3.46875,3.8525,20.0,30.0,40.0,60.0,100.0,49.428125
2026-05-14,10,1,1.090625,5.18625,50.0,60.0,80.0,90.0,90.0,80.873438
2026-05-15,10,1,2.1575,2.588419,40.0,50.0,60.0,80.0,100.0,66.70625
2026-05-18,10,1,1.095625,1.148255,50.0,90.0,100.0,100.0,100.0,92.360937
2026-05-19,10,1,1.49,2.895,40.0,60.0,60.0,70.0,100.0,65.875
2026-05-20,9,1,1.340042,3.17556,0.0,66.666667,66.666667,77.777778,100.0,71.194339
2026-05-21,10,1,3.48,3.591588,10.0,40.0,40.0,70.0,100.0,51.9
2026-05-22,10,1,1.765625,2.390728,40.0,60.0,60.0,90.0,100.0,70.185938
