selector_source_family,selector_source_type,selector_pick_count,selector_pct_within_5,selector_median_abs_error,selector_recovered_within_5_pct,avg_selector_score,avg_primary_prior_w5,avg_performance_lookback_days
ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_superset_recent8_median,2.0,0.0,13.229687,0.0,29.819673,37.38386,1.0
ROLLING_CHANNEL_LEVEL_RESIDUAL,original_base_channel_expanded_median,1.0,0.0,30.763333,0.0,11.885131,34.186497,1.0
ROLLING_CHANNEL_LEVEL_RESIDUAL,original_base_channel_superset_mean,1.0,0.0,41.123302,0.0,37.75595,43.398359,1.0
ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_expanded_mean,1.0,0.0,11.019479,0.0,52.024286,40.097538,1.0
ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_original_recent12_median,1.0,0.0,9.37,0.0,39.311069,37.013112,1.0
ROLLING_CHANNEL_LEVEL_RESIDUAL,superset_base_channel_superset_median,1.0,0.0,35.46,0.0,32.754397,39.315936,1.0
ROLLING_LEVEL_RESIDUAL,original_base_level_superset_recent8_median,1.0,0.0,64.92875,0.0,-0.518036,25.742154,1.0
ROLLING_LEVEL_RESIDUAL,superset_base_level_original_recent8_median,1.0,0.0,12.725,0.0,37.836394,56.806615,3.0
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_expanded_recent12_median,1.0,0.0,5.235,0.0,49.797252,48.655033,2.0
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,original_base_range_close_expanded_recent8_median,1.0,0.0,7.259375,0.0,52.949787,51.833556,1.0
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_expanded_recent8_median,1.0,0.0,5.38875,0.0,68.043699,67.520901,3.0
ROLLING_RANGE_CLOSE_LEVEL_RESIDUAL,superset_base_range_close_original_recent8_median,1.0,0.0,19.013505,0.0,42.226515,41.609749,3.0
ROLLING_RANGE_LEVEL_RESIDUAL,original_base_range_original_mean,1.0,0.0,5.275556,0.0,57.530881,41.583479,1.0
ROLLING_RANGE_LEVEL_RESIDUAL,original_base_range_original_median,1.0,0.0,9.149583,0.0,42.370154,41.512175,1.0
ROLLING_RANGE_LEVEL_RESIDUAL,original_base_range_superset_q25,1.0,0.0,27.705,0.0,25.34153,31.764205,1.0
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_expanded_median,1.0,0.0,6.77,0.0,30.97338,27.840353,1.0
ROLLING_RANGE_LEVEL_RESIDUAL,superset_base_range_expanded_recent8_median,1.0,0.0,54.125,0.0,5.699397,36.323153,1.0
ROLLING_REGIME_LEVEL_RESIDUAL,original_base_regime_superset_recent8_median,1.0,0.0,9.81375,0.0,38.617703,32.07803,1.0
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_expanded_q25,1.0,0.0,13.418906,0.0,47.326924,39.058523,1.0
ROLLING_REGIME_LEVEL_RESIDUAL,superset_base_regime_superset_recent20_median,1.0,0.0,42.759155,0.0,45.388561,41.960498,1.0
ROLLING_ROW_LEVEL_RESIDUAL,original_base_rows_expanded_median,1.0,0.0,11.420417,0.0,23.899891,34.058523,3.0
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_expanded_median,1.0,0.0,11.835625,0.0,35.875504,41.960498,1.0
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_expanded_recent8_median,1.0,0.0,75.662292,0.0,45.175983,57.548769,3.0
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_superset_q25,1.0,0.0,8.2725,0.0,32.181779,28.02507,1.0
ROLLING_ROW_LEVEL_RESIDUAL,superset_base_rows_superset_recent8_median,1.0,0.0,42.876875,0.0,44.546198,40.735187,3.0
ROLLING_SOURCE_LEVEL_RESIDUAL,original_base_source_superset_median,1.0,0.0,19.2425,0.0,30.93593,34.65186,1.0
ROLLING_SOURCE_LEVEL_RESIDUAL,superset_base_source_expanded_q75,1.0,0.0,134.965156,0.0,37.292814,36.357408,1.0
