level_date,prev_date,rows,prev_range,box_size,range_bucket,close_position_bucket,rows_bucket,prediction_available_levels,missing_prediction_levels,dominant_candidate_method,top1_anchor_hit_rate,top3_anchor_hit_rate,top5_anchor_hit_rate,best_candidate_median_abs_error,best_candidate_mean_abs_error,best_candidate_pct_within_3,best_candidate_pct_within_5,top1_candidate_median_abs_error,candidate_band_median_width
2026-01-21,2026-01-20,12,106.77000000000044,68.38500000000022,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4,0,REGIME_RANGE_CLOSE_ROWS,0.0,0.0,0.0,127.24625,126.994375,0.0,0.0,127.24625,0.0
2026-01-22,2026-01-21,9,132.47000000000025,81.23500000000013,RANGE_WIDE_120_220,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_CLOSE_ROWS,0.0,0.0,0.0,27.892314,26.904907,0.0,0.0,42.534375,84.774189
2026-01-23,2026-01-22,8,168.20000000000073,99.10000000000036,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4,0,REGIME_RANGE_CLOSE_ROWS,25.0,25.0,25.0,10.7675,10.5775,50.0,50.0,10.7675,0.0
2026-01-26,2026-01-23,12,90.35000000000036,60.17500000000018,RANGE_NORMAL_60_120,CLOSE_POS_UPPER_THIRD,ROWS_EXTENDED_11_PLUS,4,0,REGIME_RANGE_CLOSE_ROWS,0.0,0.0,0.0,24.654375,25.681562,0.0,0.0,86.0975,116.578125
2026-01-27,2026-01-26,10,121.10999999999967,75.55499999999984,RANGE_WIDE_120_220,CLOSE_POS_LOWER_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_CLOSE_ROWS,25.0,25.0,25.0,11.03625,10.304063,25.0,25.0,11.03625,0.0
2026-01-28,2026-01-27,10,177.47000000000025,103.73500000000013,RANGE_WIDE_120_220,CLOSE_POS_UPPER_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_CLOSE,0.0,0.0,0.0,56.139375,56.756875,0.0,0.0,67.768125,53.689821
2026-01-29,2026-01-28,7,261.66000000000076,145.83000000000038,RANGE_EXTREME_220_PLUS,CLOSE_POS_UPPER_THIRD,ROWS_SPARSE_1_8,4,0,REGIME_RANGE_ONLY,25.0,25.0,25.0,28.4025,28.636272,0.0,0.0,48.21,91.838707
2026-01-30,2026-01-29,10,493.1800000000003,261.59000000000015,RANGE_EXTREME_220_PLUS,CLOSE_POS_MIDDLE_THIRD,ROWS_STANDARD_9_10,4,0,REGIME_RANGE_ONLY,0.0,0.0,0.0,85.96875,82.739833,0.0,0.0,91.049666,126.145334
2026-02-02,2026-01-30,16,764.1700000000001,397.08500000000004,RANGE_EXTREME_220_PLUS,CLOSE_POS_LOWER_THIRD,ROWS_EXTENDED_11_PLUS,4,0,REGIME_RANGE_CLOSE_ROWS,0.0,0.0,0.0,133.51904,134.746395,0.0,0.0,133.51904,0.0
2026-02-03,2026-02-02,14,481.5600000000004,255.7800000000002,RANGE_EXTREME_220_PLUS,CLOSE_POS_MIDDLE_THIRD,ROWS_EXTENDED_11_PLUS,4,0,REGIME_RANGE_CLOSE,0.0,0.0,0.0,105.6025,106.89375,0.0,0.0,105.6025,0.0
